,age,let-introduced,lettice,church-introduced,spelling-relief,friends-introduced,perry,parents,status,month,jerome,spelling,english,barrons,world,latin-study,hairdresser,barron-crisis,housework,poverty,child-led,projects,assessments,motivation,william,tyler,highest-win,previous-missed,dinner,newslettering,pedagogue,gerbil-studied,doll,visiting,sara,lessons,birthdaying,lettice-monster,bookstore,topeng-defined,barrons-card,greekletters,threats-useless,epilogued,minestrone,photosynthesis,william-intervention,warned,cyan,hyalithe,psitta,not-talking,materials-studied,copy-error,cosmetics-studied,wednesday-done,lectern,art-words,isgreek,isindonesian,isspanish,ishungarian,genius,jerome-texted,hawaiian,format-change,collage-ready,coupons-offered
017_data.txt,10.0,1.0,-2.0,1.0,7.0,1.0,4.0,-5.0,6.0,29.0,2.0,24.0,3.0,5.0,4.0,,45.0,3.0,1.0,12.0,,,,2.0,1.0,1.0,1.0,2.0,1.0,-1.0,1.0,,1.0,,1.0,1.0,,,1.0,,,1.0,,1.0,,1.0,1.0,1.0,0.0,0.0,0.0,,,,,1.0,,,,,,,,,,1.0,,
079_data.txt,10.0,1.0,-6.0,1.0,12.0,1.0,3.0,2.0,4.0,27.0,6.0,42.0,3.0,2.0,3.0,2.0,,1.0,1.0,4.0,2.0,,,2.0,1.0,,4.0,2.0,1.0,2.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,,,,1.0,,,1.0,,0.0,0.0,0.0,1.0,,1.0,1.0,1.0,,2.0,,1.0,,,,,1.0,,,
061_data.txt,12.0,1.0,18.0,1.0,16.0,1.0,4.0,0.0,10.0,26.0,4.0,51.0,4.0,6.0,2.0,2.0,30.0,3.0,1.0,8.0,2.0,,,1.0,1.0,1.0,1.0,2.0,1.0,2.0,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,0.0,0.0,0.0,1.0,,1.0,1.0,,1.0,2.0,1.0,,,,,,,,,
046_data.txt,13.0,1.0,-1.0,1.0,17.0,1.0,3.0,11.0,0.0,30.0,4.0,71.0,4.0,5.0,4.0,2.0,4.0,3.0,1.0,6.0,2.0,,,2.0,1.0,1.0,1.0,2.0,1.0,2.0,,1.0,1.0,1.0,3.0,1.0,,1.0,1.0,,,,,1.0,1.0,,1.0,,0.0,0.0,0.0,,1.0,1.0,1.0,2.0,,2.0,,,,,,,,,,
078_data.txt,10.0,1.0,-2.0,1.0,11.0,1.0,4.0,1.0,5.0,29.0,3.0,43.0,4.0,6.0,3.0,2.0,,3.0,1.0,13.0,2.0,1.0,,2.0,1.0,1.0,2.0,2.0,1.0,1.0,,,1.0,,2.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,,1.0,,,,,,,,,1.0,1.0,1.0,2.0,,,1.0,,,,,,,
096_data.txt,11.0,1.0,-2.0,1.0,12.0,1.0,4.0,-7.0,7.0,27.0,5.0,47.0,4.0,2.0,4.0,2.0,,1.0,1.0,4.0,2.0,1.0,,1.0,,,4.0,2.0,1.0,2.0,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,1.0,1.0,1.0,,2.0,1.0,,,2.0,1.0,,,,,
094_data.txt,9.0,1.0,-4.0,1.0,6.0,1.0,4.0,0.0,6.0,29.0,,20.0,3.0,4.0,5.0,1.0,4.0,1.0,1.0,12.0,,,,2.0,,,,,1.0,3.0,1.0,,,,1.0,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,
063_data.txt,10.0,1.0,-1.0,1.0,12.0,1.0,3.0,-7.0,4.0,27.0,4.0,48.0,4.0,2.0,4.0,2.0,,1.0,1.0,4.0,2.0,,,1.0,,,4.0,,1.0,-1.0,1.0,,1.0,1.0,2.0,,1.0,,1.0,,,1.0,,1.0,,1.0,,,,,,,,1.0,,1.0,,,,,,1.0,,,1.0,,,
072_data.txt,10.0,1.0,-1.0,1.0,8.0,1.0,3.0,0.0,4.0,27.0,3.0,50.0,4.0,3.0,4.0,2.0,50.0,,1.0,5.0,,,,2.0,,,4.0,1.0,1.0,2.0,,,1.0,,2.0,,1.0,,1.0,,,,,1.0,1.0,,,,,,,,1.0,1.0,,1.0,1.0,1.0,2.0,,,,,,1.0,,,
044_data.txt,10.0,1.0,-3.0,1.0,9.0,1.0,2.0,1.0,2.0,27.0,6.0,45.0,4.0,2.0,4.0,2.0,,1.0,1.0,5.0,2.0,1.0,1.0,2.0,,,4.0,2.0,1.0,2.0,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,1.0,,1.0,,1.0,,1.0,,,,,1.0,1.0,,1.0,,,,6.0,,3.0,1.0,1.0,,,,
