,age,friends-introduced,perry,world,status,let-introduced,lettice,church-introduced,parents,month,barrons,dinner,poverty,motivation,legend,jerome,spelling-relief,housework,spelling,hairdresser,photosynthesis,william-intervention,william,afrikaans,lettice-monster,child-led,genius,warned,zulu,barron-crisis,art-words,previous-missed,hyalithe,psitta,cyan,english,epilogued,lectern,aquarium,hawaiian,newslettering,italian,highest-win,sara,doll,aboriginal,copy-error,birthdaying,lessons,visiting,tyler,wednesday-done,bookstore,minestrone,materials-studied,collage-ready,coupons-offered,projects,isgreek,cosmetics-studied,latin-study,gerbil-studied,ishungarian,pedagogue,not-talking,greekletters,assessments,threats-useless,format-change,isspanish,barrons-card,jerome-texted,isindonesian,topeng-defined
086,9.0,1.0,1.0,3.0,-1.0,1.0,1.0,1.0,1.0,29.0,2.0,1.0,19.0,2.0,1.0,1.0,4.0,1.0,20.0,,,1.0,1.0,,1.0,,,,,,2.0,2.0,0.0,0.0,0.0,,1.0,1.0,,,-1.0,,,,,,1.0,,,,,,,1.0,1.0,,,,,,2.0,,,1.0,,,,,,,,,,
068,9.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,9.0,30.0,2.0,1.0,2.0,1.0,2.0,2.0,6.0,,7.0,45.0,1.0,1.0,1.0,1.0,,,,1.0,,1.0,,,0.0,0.0,0.0,3.0,1.0,,,,3.0,,,1.0,1.0,,,,,,,1.0,,1.0,,,,,,,,,,1.0,1.0,,,,1.0,,,,,
056,9.0,1.0,2.0,9.0,1.0,1.0,0.0,1.0,4.0,30.0,3.0,1.0,1.0,1.0,2.0,2.0,7.0,,16.0,50.0,1.0,1.0,1.0,3.0,1.0,2.0,,1.0,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,1.0,2.0,,1.0,,,,,,,1.0,,,,,,,,
003,11.0,1.0,6.0,4.0,11.0,1.0,-2.0,1.0,1.0,31.0,6.0,1.0,7.0,1.0,,3.0,9.0,1.0,30.0,30.0,,1.0,1.0,2.0,1.0,,,1.0,1.0,3.0,2.0,,0.0,0.0,0.0,3.0,1.0,1.0,,1.0,-1.0,1.0,3.0,1.0,1.0,1.0,,,,,1.0,1.0,,1.0,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,,,
077,11.0,1.0,2.0,3.0,7.0,1.0,-3.0,1.0,5.0,31.0,5.0,1.0,6.0,2.0,1.0,7.0,11.0,1.0,47.0,3.0,1.0,1.0,1.0,2.0,,2.0,,,2.0,2.0,1.0,2.0,0.0,0.0,0.0,4.0,1.0,1.0,,,1.0,1.0,3.0,2.0,1.0,3.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,3.0,1.0,3.0,1.0,1.0,,,1.0,,,,,,2.0,,
004,8.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,10.0,30.0,2.0,,,2.0,,,2.0,,6.0,,,1.0,1.0,,,,,,,,1.0,,0.0,0.0,0.0,3.0,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,
054,8.0,1.0,2.0,7.0,4.0,1.0,3.0,1.0,0.0,30.0,1.0,1.0,,2.0,,1.0,4.0,,7.0,,1.0,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
015,11.0,1.0,4.0,3.0,7.0,1.0,-3.0,1.0,3.0,31.0,4.0,1.0,6.0,2.0,1.0,4.0,9.0,1.0,50.0,50.0,1.0,1.0,1.0,3.0,1.0,2.0,,,1.0,,3.0,2.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,,,1.0,,1.0,2.0,1.0,,,,,1.0,,,,,,,
006,10.0,1.0,3.0,3.0,7.0,1.0,2.0,1.0,9.0,30.0,4.0,1.0,6.0,0.0,,1.0,8.0,1.0,37.0,3.0,1.0,1.0,1.0,2.0,,,,,3.0,3.0,1.0,2.0,,,,4.0,1.0,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,2.0,,,1.0,2.0,,,,,1.0,,,,,,,,
007,11.0,1.0,10.0,3.0,15.0,1.0,3.0,1.0,0.0,31.0,5.0,1.0,4.0,2.0,1.0,6.0,7.0,1.0,37.0,50.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,3.0,3.0,2.0,0.0,0.0,0.0,3.0,1.0,,1.0,1.0,2.0,,3.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,2.0,,,1.0,1.0,,,,1.0,,,,,,,,1.0,1.0
091,9.0,1.0,3.0,7.0,3.0,1.0,-3.0,1.0,4.0,30.0,3.0,1.0,,1.0,,3.0,7.0,1.0,29.0,50.0,1.0,,,1.0,,,,,,,1.0,2.0,,,,,1.0,,1.0,,1.0,,1.0,,1.0,1.0,,,,,,,,1.0,,,,,,1.0,2.0,1.0,,,,1.0,,,,,,,,
028,10.0,1.0,2.0,3.0,7.0,1.0,1.0,1.0,1.0,29.0,2.0,1.0,17.0,2.0,,4.0,9.0,,32.0,4.0,1.0,1.0,1.0,1.0,,2.0,,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,,2.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,,,1.0,,,,1.0,2.0,,,,3.0,1.0,,,,,,,,,,,,
016,11.0,1.0,3.0,3.0,4.0,1.0,7.0,1.0,2.0,31.0,3.0,1.0,5.0,0.0,1.0,3.0,8.0,1.0,37.0,50.0,,1.0,1.0,3.0,1.0,,,,2.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,1.0,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,,,2.0,1.0,1.0,,,,,1.0,,,1.0,,,2.0,,,,,,,,,
017,8.0,1.0,1.0,4.0,4.0,1.0,0.0,1.0,9.0,30.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,,,1.0,1.0,,,,,,,,,,0.0,0.0,0.0,4.0,1.0,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
079,10.0,1.0,5.0,3.0,4.0,1.0,0.0,1.0,1.0,29.0,4.0,1.0,12.0,2.0,0.0,2.0,5.0,1.0,26.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,,,1.0,,1.0,2.0,0.0,0.0,0.0,,1.0,,,,-1.0,1.0,2.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,,,,,5.0,1.0,,,,1.0,,,,,,,,,,
061,11.0,1.0,3.0,2.0,2.0,1.0,-4.0,1.0,0.0,31.0,6.0,1.0,4.0,1.0,,4.0,8.0,1.0,44.0,45.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,,,3.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,1.0,,1.0,,,,,,,
046,10.0,1.0,3.0,4.0,5.0,1.0,13.0,1.0,1.0,26.0,5.0,1.0,3.0,0.0,2.0,1.0,6.0,1.0,24.0,3.0,1.0,1.0,1.0,3.0,,,,,,3.0,1.0,1.0,,,,4.0,1.0,,,,2.0,,2.0,2.0,,1.0,1.0,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,1.0,,,,,,
078,10.0,1.0,3.0,6.0,8.0,1.0,0.0,1.0,-3.0,27.0,4.0,1.0,,0.0,1.0,7.0,7.0,1.0,48.0,50.0,,,,3.0,1.0,2.0,,,3.0,,2.0,2.0,,,,4.0,1.0,,1.0,1.0,-1.0,3.0,4.0,2.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,1.0,1.0,3.0,,,1.0,,,,,,1.0,,,,
096,10.0,1.0,4.0,3.0,6.0,1.0,-1.0,1.0,-1.0,27.0,4.0,1.0,6.0,2.0,1.0,4.0,6.0,1.0,42.0,,,1.0,1.0,,1.0,2.0,,,3.0,,2.0,2.0,0.0,0.0,0.0,4.0,1.0,,2.0,1.0,-1.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,1.0,,1.0,,,,,,,,
094,9.0,1.0,5.0,4.0,6.0,1.0,1.0,1.0,9.0,30.0,1.0,1.0,3.0,2.0,2.0,1.0,4.0,,13.0,,,1.0,1.0,,,,,,,,1.0,,0.0,0.0,0.0,4.0,1.0,,,1.0,-1.0,,1.0,2.0,1.0,,1.0,,,,,1.0,,,,,,,,,2.0,1.0,,1.0,,,,,,,,,,
063,9.0,1.0,2.0,3.0,4.0,1.0,0.0,1.0,12.0,30.0,4.0,1.0,3.0,2.0,1.0,3.0,9.0,1.0,16.0,45.0,,1.0,1.0,1.0,1.0,2.0,,1.0,,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,,,1.0,,,,1.0,1.0,,1.0,,1.0,1.0,,3.0,,1.0,,,,1.0,,,,,,,,,
072,9.0,1.0,7.0,4.0,9.0,1.0,11.0,1.0,-2.0,26.0,3.0,1.0,2.0,1.0,2.0,1.0,6.0,1.0,25.0,50.0,1.0,,,1.0,1.0,,,,2.0,1.0,,2.0,,,,1.0,1.0,,2.0,1.0,2.0,,,,1.0,,1.0,,,,,,,1.0,,,,,,,2.0,,,,,1.0,,,,,,,,
044,11.0,1.0,4.0,5.0,8.0,1.0,-4.0,1.0,1.0,31.0,5.0,1.0,5.0,2.0,1.0,5.0,11.0,1.0,31.0,45.0,1.0,,1.0,2.0,1.0,2.0,,1.0,2.0,3.0,4.0,2.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,,4.0,1.0,1.0,2.0,1.0,,,1.0,,1.0,1.0,2.0,,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,
032,10.0,1.0,3.0,4.0,6.0,1.0,0.0,1.0,4.0,29.0,,1.0,13.0,2.0,2.0,2.0,10.0,,20.0,,,,,1.0,1.0,,,,1.0,,,2.0,0.0,0.0,0.0,4.0,1.0,1.0,,,-1.0,,2.0,2.0,1.0,,1.0,,,,,2.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,
047,9.0,1.0,5.0,4.0,5.0,1.0,2.0,1.0,9.0,30.0,2.0,1.0,,1.0,,3.0,5.0,1.0,17.0,,,1.0,1.0,1.0,1.0,2.0,,,1.0,,1.0,,,,,3.0,1.0,1.0,1.0,,2.0,,,1.0,1.0,,1.0,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,
020,10.0,1.0,6.0,4.0,9.0,1.0,-4.0,1.0,3.0,29.0,3.0,1.0,12.0,1.0,2.0,4.0,14.0,1.0,22.0,,,1.0,1.0,,1.0,2.0,,1.0,,,,1.0,0.0,0.0,0.0,4.0,1.0,1.0,,1.0,-1.0,1.0,2.0,2.0,1.0,1.0,,1.0,,,1.0,1.0,,1.0,,,,1.0,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,
081,11.0,1.0,6.0,4.0,5.0,1.0,-5.0,1.0,3.0,31.0,6.0,,8.0,2.0,1.0,4.0,10.0,1.0,34.0,4.0,,1.0,1.0,,,2.0,,,2.0,3.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,,,1.0,,,,,1.0,,,,
